Data entropy: {1.0948069790894672}
Data redundancy: {0.7810386041821066}
Ngrams::
 ,0.16360113091267195
о,0.09364973474379745
а,0.06928428476126942
е,0.06617109819244575
и,0.05727627942437816
т,0.05406779122589663
н,0.052924171670002226
с,0.045109438038057115
л,0.03935957304869913
в,0.035865179961244005
р,0.03551574065249849
к,0.030845960799263
м,0.02795514469964103
у,0.025985577686711777
п,0.024428984402299948
д,0.022554719019028557
я,0.019568601289748723
ы,0.016709552400012706
з,0.015597700054004257
ь,0.015375329584802568
г,0.014485847707995807
б,0.013755201880618826
ч,0.012166841386321039
й,0.010038438323962007
ж,0.00822770736046253
ш,0.006829950125480479
х,0.006289907557419232
ю,0.005432192890498427
щ,0.0035261602973410845
э,0.00311318656882366
ц,0.0027637472600781474
ф,0.0015248260745258744
